Instance                      NSGA-II                  SL        GA                       SL        
cogent_centers_0_20requests   0.45316666666666666      6         0.4595                   4         Bad                           
cogent_centers_1_20requests   0.4945                   3         0.5449999999999999       4         Bad                           
cogent_centers_2_20requests   0.5776666666666667       5         0.5045                   3         Good                          
cogent_centers_3_20requests   0.40166666666666667      5         0.46199999999999997      7         Bad                           
cogent_centers_4_20requests   0.5566666666666666       6         0.47650000000000003      5         Good                          
cogent_rural_0_20requests     0.36083333333333334      3         0.337                    7         Good                          
cogent_rural_1_20requests     0.3318333333333333       3         0.3195                   5         Good                          
cogent_rural_2_20requests     0.35350000000000004      4         0.30150000000000005      5         Good                          
cogent_rural_3_20requests     0.46749999999999997      4         0.4065                   5         Good                          
cogent_rural_4_20requests     0.3196666666666667       4         0.2705                   6         Good                          
cogent_uniform_0_20requests   0.48716666666666664      7         0.4164999999999999       7         Good                          
cogent_uniform_1_20requests   0.3966666666666667       4         0.39                     6         Good                          
cogent_uniform_2_20requests   0.36083333333333334      3         0.40549999999999997      6         Bad                           
cogent_uniform_3_20requests   0.344                    3         0.35150000000000003      5         Bad                           
cogent_uniform_4_20requests   0.4575                   3         0.354                    6         Good                          
cogent_urban_0_20requests     0.554                    5         0.46299999999999997      4         Good                          
cogent_urban_1_20requests     0.5878333333333334       3         0.389                    5         Good                          
cogent_urban_2_20requests     0.5741666666666667       4         0.47100000000000003      5         Good                          
cogent_urban_3_20requests     0.5373333333333333       6         0.41400000000000003      7         Good                          
cogent_urban_4_20requests     0.5103333333333334       4         0.4145                   5         Good                          
conus_centers_0_20requests    0.48983333333333334      5         0.4925                   5         Bad                           
conus_centers_1_20requests    0.5763333333333334       7         0.4455                   5         Good                          
conus_centers_2_20requests    0.5445000000000001       6         0.487                    6         Good                          
conus_centers_3_20requests    0.4821666666666667       6         0.46799999999999997      5         Good                          
conus_centers_4_20requests    0.4743333333333334       5         0.485                    5         Bad                           
conus_rural_0_20requests      0.49483333333333335      6         0.4475                   4         Good                          
conus_rural_1_20requests      0.5521666666666666       6         0.479                    6         Good                          
conus_rural_2_20requests      0.45433333333333326      4         0.43099999999999994      7         Good                          
conus_rural_3_20requests      0.466                    4         0.35950000000000004      5         Good                          
conus_rural_4_20requests      0.49166666666666664      7         0.40299999999999997      5         Good                          
conus_uniform_0_20requests    0.5293333333333333       8         0.5315                   7         Bad                           
conus_uniform_1_20requests    0.6326666666666667       5         0.541                    3         Good                          
conus_uniform_2_20requests    0.4908333333333334       7         0.45799999999999996      6         Good                          
conus_uniform_3_20requests    0.5435                   5         0.53                     6         Good                          
conus_uniform_4_20requests    0.5368333333333334       7         0.5965                   6         Bad                           
conus_urban_0_20requests      0.588                    6         0.5009999999999999       4         Good                          
conus_urban_1_20requests      0.679                    3         0.537                    5         Good                          
conus_urban_2_20requests      0.6175                   3         0.5645                   5         Good                          
conus_urban_3_20requests      0.5853333333333333       5         0.4595                   5         Good                          
conus_urban_4_20requests      0.581                    3         0.5095000000000001       3         Good                          
