Instance                      NSGA-II                  SL        GA                       SL        
nsf_centers_0_20requests      0.24033333333333334      3         0.21899999999999997      5         Good                          
nsf_centers_1_20requests      0.26783333333333337      5         0.19849999999999998      5         Good                          
nsf_centers_2_20requests      0.25383333333333336      5         0.2835                   6         Bad                           
nsf_centers_3_20requests      0.24533333333333332      3         0.15699999999999997      4         Good                          
nsf_centers_4_20requests      0.33416666666666667      5         0.2625                   5         Good                          
nsf_rural_0_20requests        0.2713333333333333       4         0.2655                   6         Good                          
nsf_rural_1_20requests        0.39449999999999996      5         0.3325                   6         Good                          
nsf_rural_2_20requests        0.3433333333333334       6         0.3035                   5         Good                          
nsf_rural_3_20requests        0.3541666666666667       4         0.3355                   5         Good                          
nsf_rural_4_20requests        0.375                    4         0.35950000000000004      6         Good                          
nsf_uniform_0_20requests      0.33699999999999997      7         0.2605                   5         Good                          
nsf_uniform_1_20requests      0.2845                   6         0.2975                   5         Bad                           
nsf_uniform_2_20requests      0.373                    6         0.345                    6         Good                          
nsf_uniform_3_20requests      0.317                    6         0.3165                   6         Good                          
nsf_uniform_4_20requests      0.3533333333333333       7         0.3                      4         Good                          
nsf_urban_0_20requests        0.4558333333333333       7         0.406                    6         Good                          
nsf_urban_1_20requests        0.34450000000000003      5         0.31150000000000005      7         Good                          
nsf_urban_2_20requests        0.38849999999999996      6         0.312                    6         Good                          
nsf_urban_3_20requests        0.2958333333333334       6         0.262                    6         Good                          
nsf_urban_4_20requests        0.4086666666666666       8         0.31999999999999995      6         Good                          
