Instance                      NSGA-II                  SL        GA                       SL        
cogent_centers_0_30requests   0.48655555555555574      6         0.72                     4 root:50 Bad                           
cogent_centers_1_30requests   0.7099999999999999       8         0.5793333333333335       5 root:50 Good                          
cogent_centers_2_30requests   0.5836666666666667       7         0.6060000000000001       5 root:50 Bad                           
cogent_centers_3_30requests   0.5180000000000001       3         0.7593333333333334       6 root:50 Bad                           
cogent_centers_4_30requests   0.5032222222222223       3         0.6263333333333334       4 root:50 Bad                           
cogent_rural_0_30requests     0.3316666666666666       5         0.5606666666666665       6 root:50 Bad                           
cogent_rural_1_30requests     0.42333333333333323      5         0.6696666666666666       5 root:50 Bad                           
cogent_rural_2_30requests     0.3343333333333334       6         0.583                    5 root:50 Bad                           
cogent_rural_3_30requests     0.39477777777777795      5         0.618                    5 root:50 Bad                           
cogent_rural_4_30requests     0.25499999999999995      6         0.5700000000000001       6 root:50 Bad                           
cogent_uniform_0_30requests   0.43244444444444435      4         0.7673333333333334       6 root:50 Bad                           
cogent_uniform_1_30requests   0.42455555555555546      4         0.7646666666666666       5 root:50 Bad                           
cogent_uniform_2_30requests   0.4117777777777778       4         0.7163333333333333       4 root:50 Bad                           
cogent_uniform_3_30requests   0.3543333333333335       4         0.7296666666666667       5 root:50 Bad                           
cogent_uniform_4_30requests   0.41411111111111104      2         0.8333333333333333       8 root:50 Bad                           
cogent_urban_0_30requests     0.5044444444444445       8         0.7596666666666666       6 root:50 Bad                           
cogent_urban_1_30requests     0.4827777777777779       2         0.7396666666666667       4 root:50 Bad                           
cogent_urban_2_30requests     0.4947777777777778       4         0.889                    5 root:50 Bad                           
cogent_urban_3_30requests     0.9934444444444444       4         0.8800000000000001       5 root:50 Good                          
cogent_urban_4_30requests     0.5014444444444446       4         0.8053333333333335       3 root:50 Bad                           
conus_centers_0_30requests    0.9043333333333333       4         0.5846666666666667       3 root:50 Good                          
conus_centers_1_30requests    0.8515555555555554       9         0.7766666666666668       4 root:50 Good                          
conus_centers_2_30requests    0.6507777777777779       6         0.665                    4 root:50 Bad                           
conus_centers_3_30requests    0.714                    4         0.7933333333333332       5 root:50 Bad                           
conus_centers_4_30requests    0.7322222222222223       4         0.8323333333333334       5 root:50 Bad                           
conus_rural_0_30requests      0.4275555555555556       11        0.7006666666666667       5 root:50 Bad                           
conus_rural_1_30requests      0.3809999999999999       6         0.813                    5 root:50 Bad                           
conus_rural_2_30requests      0.6374444444444446       4         0.6093333333333333       5 root:50 Good                          
conus_rural_3_30requests      0.4288888888888889       8         0.8183333333333334       6 root:50 Bad                           
conus_rural_4_30requests      0.48144444444444456      10        0.8260000000000001       4 root:50 Bad                           
conus_uniform_0_30requests    0.5902222222222223       3         0.6893333333333334       6 root:50 Bad                           
conus_uniform_1_30requests    0.34944444444444445      7         0.7093333333333334       5 root:50 Bad                           
conus_uniform_2_30requests    0.34344444444444444      10        0.713                    6 root:50 Bad                           
conus_uniform_3_30requests    0.4258888888888887       4         0.7369999999999999       3 root:50 Bad                           
conus_uniform_4_30requests    0.471                    5         0.7480000000000001       5 root:50 Bad                           
conus_urban_0_30requests      0.8423333333333336       2         0.8560000000000001       6 root:50 Bad                           
conus_urban_1_30requests      0.819111111111111        2         0.7616666666666668       4 root:50 Good                          
conus_urban_2_30requests      0.9259999999999998       2         0.7386666666666666       6 root:50 Good                          
conus_urban_3_30requests      0.8668888888888888       7         0.8143333333333334       5 root:50 Good                          
conus_urban_4_30requests      0.9052222222222222       2         0.7093333333333334       4 root:50 Good                          
nsf_centers_0_30requests      0.266                    1         0.39766666666666667      5 root:50 Bad                           
nsf_centers_1_30requests      0.24111111111111108      1         0.3623333333333334       5 root:50 Bad                           
nsf_centers_2_30requests      0.252                    1         0.409                    6 root:50 Bad                           
nsf_centers_3_30requests      0.24411111111111108      1         0.35466666666666663      6 root:50 Bad                           
nsf_centers_4_30requests      0.22555555555555554      1         0.374                    5 root:50 Bad                           
nsf_rural_0_30requests        0.2073333333333333       7         0.5203333333333333       6 root:50 Bad                           
nsf_rural_1_30requests        0.37422222222222223      5         0.5446666666666667       5 root:50 Bad                           
nsf_rural_2_30requests        0.2994444444444444       8         0.7110000000000001       4 root:50 Bad                           
nsf_rural_3_30requests        0.29988888888888887      4         0.611                    5 root:50 Bad                           
nsf_rural_4_30requests        0.29277777777777775      7         0.528                    6 root:50 Bad                           
nsf_uniform_0_30requests      0.2789999999999999       5         0.6106666666666667       4 root:50 Bad                           
nsf_uniform_1_30requests      0.2912222222222223       5         0.7886666666666666       5 root:50 Bad                           
nsf_uniform_2_30requests      0.2825555555555555       5         0.542                    5 root:50 Bad                           
nsf_uniform_3_30requests      0.29000000000000004      1         0.638                    5 root:50 Bad                           
nsf_uniform_4_30requests      0.27377777777777773      9         0.6759999999999999       4 root:50 Bad                           
nsf_urban_0_30requests        0.303                    9         0.5616666666666666       7 root:50 Bad                           
nsf_urban_1_30requests        0.27488888888888896      2         0.6139999999999999       6 root:50 Bad                           
nsf_urban_2_30requests        0.26588888888888884      5         0.6323333333333333       4 root:50 Bad                           
nsf_urban_3_30requests        0.40511111111111114      9         0.6836666666666665       5 root:50 Bad                           
nsf_urban_4_30requests        0.2916666666666667       4         0.6276666666666667       5 root:50 Bad                           
