Instance                      NSGA-II                  SL        GA                       SL        
cogent_centers_0_10requests   0.43300000000000005      3         0.391                    6         Good                          
cogent_centers_0_20requests   0.446                    6         0.478                    5         Bad                           
cogent_centers_0_30requests   0.4774444444444445       6         0.3983333333333334       5         Good                          
cogent_centers_1_10requests   0.5293333333333334       3         0.41000000000000003      6         Good                          
cogent_centers_1_20requests   0.49                     5         0.441                    3         Good                          
cogent_centers_1_30requests   0.5257777777777778       8         0.4206666666666667       4         Good                          
cogent_centers_2_10requests   0.3846666666666667       3         0.411                    5         Bad                           
cogent_centers_2_20requests   0.5916666666666666       4         0.5109999999999999       3         Good                          
cogent_centers_2_30requests   0.5365555555555557       7         0.4023333333333333       5         Good                          
cogent_centers_3_10requests   0.5050000000000001       4         0.31500000000000006      4         Good                          
cogent_centers_3_20requests   0.4233333333333334       6         0.363                    4         Good                          
cogent_centers_3_30requests   0.49499999999999994      6         0.5103333333333334       4         Bad                           
cogent_centers_4_10requests   0.48100000000000004      4         0.497                    5         Bad                           
cogent_centers_4_20requests   0.5549999999999999       4         0.45199999999999996      5         Good                          
cogent_centers_4_30requests   0.5085555555555556       8         0.3436666666666667       3         Good                          
cogent_rural_0_10requests     0.253                    2         0.07500000000000001      2         Good                          
cogent_rural_0_20requests     0.325                    3         0.3265                   7         Bad                           
cogent_rural_0_30requests     0.3705555555555555       8         0.38433333333333336      6         Bad                           
cogent_rural_1_10requests     0.337                    3         0.21000000000000002      4         Good                          
cogent_rural_1_20requests     0.29966666666666664      2         0.3185                   7         Bad                           
cogent_rural_1_30requests     0.44866666666666666      6         0.37533333333333335      5         Good                          
cogent_rural_2_10requests     0.27466666666666667      3         0.16900000000000004      4         Good                          
cogent_rural_2_20requests     0.3803333333333333       4         0.329                    6         Good                          
cogent_rural_2_30requests     0.3205555555555555       4         0.3353333333333333       5         Bad                           
cogent_rural_3_10requests     0.338                    3         0.191                    3         Good                          
cogent_rural_3_20requests     0.47300000000000003      5         0.4235000000000001       5         Good                          
cogent_rural_3_30requests     0.44744444444444437      3         0.32933333333333337      5         Good                          
cogent_rural_4_10requests     0.3626666666666667       3         0.14200000000000002      3         Good                          
cogent_rural_4_20requests     0.32                     5         0.2605                   6         Good                          
cogent_rural_4_30requests     0.34033333333333327      6         0.3243333333333333       5         Good                          
cogent_uniform_0_10requests   0.44199999999999995      2         0.236                    3         Good                          
cogent_uniform_0_20requests   0.4781666666666667       4         0.37799999999999995      5         Good                          
cogent_uniform_0_30requests   0.483                    4         0.43466666666666665      5         Good                          
cogent_uniform_1_10requests   0.32                     3         0.255                    4         Good                          
cogent_uniform_1_20requests   0.402                    3         0.40549999999999997      7         Bad                           
cogent_uniform_1_30requests   0.4778888888888889       5         0.4426666666666666       6         Good                          
cogent_uniform_2_10requests   0.31766666666666665      4         0.323                    5         Bad                           
cogent_uniform_2_20requests   0.4311666666666667       4         0.399                    5         Good                          
cogent_uniform_2_30requests   0.4651111111111111       5         0.369                    5         Good                          
cogent_uniform_3_10requests   0.2326666666666667       2         0.11799999999999997      3         Good                          
cogent_uniform_3_20requests   0.4040000000000001       4         0.37550000000000006      6         Good                          
cogent_uniform_3_30requests   0.4385555555555556       5         0.443                    4         Bad                           
cogent_uniform_4_10requests   0.41733333333333333      5         0.376                    6         Good                          
cogent_uniform_4_20requests   0.3981666666666666       3         0.3375                   6         Good                          
cogent_uniform_4_30requests   0.4777777777777778       5         0.44133333333333336      5         Good                          
cogent_urban_0_10requests     0.5233333333333334       5         0.29899999999999993      5         Good                          
cogent_urban_0_20requests     0.6319999999999999       5         0.4595                   4         Good                          
cogent_urban_0_30requests     0.5474444444444445       6         0.44033333333333335      6         Good                          
cogent_urban_1_10requests     0.5153333333333333       4         0.266                    6         Good                          
cogent_urban_1_20requests     0.577                    4         0.3855                   5         Good                          
cogent_urban_1_30requests     0.5248888888888888       5         0.4456666666666667       5         Good                          
cogent_urban_2_10requests     0.43766666666666665      5         0.329                    6         Good                          
cogent_urban_2_20requests     0.5619999999999999       6         0.5075                   5         Good                          
cogent_urban_2_30requests     0.5496666666666667       5         0.45733333333333337      5         Good                          
cogent_urban_3_10requests     0.5833333333333334       4         0.335                    4         Good                          
cogent_urban_3_20requests     0.5548333333333333       5         0.4100000000000001       6         Good                          
cogent_urban_3_30requests     0.622                    6         0.37600000000000006      5         Good                          
cogent_urban_4_10requests     0.5623333333333334       4         0.32099999999999995      5         Good                          
cogent_urban_4_20requests     0.5816666666666668       5         0.413                    6         Good                          
