Instance                      NSGA-II                  SL        GA                       SL        
cogent_centers_0_10requests   0.43100000000000005      4         0.33399999999999996      4         Good                          
cogent_centers_0_20requests   0.4591666666666667       7         0.42                     4         Good                          
cogent_centers_0_30requests   0.5001111111111112       5         0.40233333333333343      4         Good                          
cogent_centers_1_10requests   0.565                    5         0.37                     4         Good                          
cogent_centers_1_20requests   0.5156666666666666       4         0.5105                   4         Good                          
cogent_centers_1_30requests   0.5276666666666667       9         0.46066666666666667      4         Good                          
cogent_centers_2_10requests   0.4303333333333333       4         0.42500000000000004      5         Good                          
cogent_centers_2_20requests   0.5503333333333333       3         0.4595                   4         Good                          
cogent_centers_2_30requests   0.5660000000000001       10        0.37366666666666665      4         Good                          
cogent_centers_3_10requests   0.48666666666666664      3         0.386                    7         Good                          
cogent_centers_3_20requests   0.43999999999999995      8         0.412                    4         Good                          
cogent_centers_3_30requests   0.47866666666666663      5         0.4653333333333333       5         Good                          
cogent_centers_4_10requests   0.5016666666666666       4         0.517                    6         Bad                           
cogent_centers_4_20requests   0.5933333333333333       8         0.45999999999999996      5         Good                          
cogent_centers_4_30requests   0.43366666666666664      4         0.4016666666666667       4         Good                          
cogent_rural_0_10requests     0.2686666666666666       3         0.2                      4         Good                          
cogent_rural_0_20requests     0.325                    3         0.3265                   6         Bad                           
cogent_rural_0_30requests     0.36344444444444446      5         0.34500000000000003      6         Good                          
cogent_rural_1_10requests     0.35                     2         0.22700000000000004      4         Good                          
cogent_rural_1_20requests     0.3318333333333333       3         0.3065                   6         Good                          
cogent_rural_1_30requests     0.4484444444444444       5         0.349                    5         Good                          
cogent_rural_2_10requests     0.2803333333333334       2         0.166                    4         Good                          
cogent_rural_2_20requests     0.4136666666666666       4         0.322                    6         Good                          
cogent_rural_2_30requests     0.33766666666666667      6         0.32066666666666666      4         Good                          
cogent_rural_3_10requests     0.32066666666666666      2         0.237                    4         Good                          
cogent_rural_3_20requests     0.4628333333333334       3         0.41600000000000004      7         Good                          
cogent_rural_3_30requests     0.44744444444444437      3         0.3483333333333334       5         Good                          
cogent_rural_4_10requests     0.38133333333333336      3         0.23600000000000002      5         Good                          
cogent_rural_4_20requests     0.32616666666666666      4         0.2575                   6         Good                          
cogent_rural_4_30requests     0.3581111111111111       5         0.316                    5         Good                          
cogent_uniform_0_10requests   0.44966666666666666      2         0.263                    4         Good                          
cogent_uniform_0_20requests   0.42633333333333334      4         0.40349999999999997      6         Good                          
cogent_uniform_0_30requests   0.505                    6         0.4346666666666667       6         Good                          
cogent_uniform_1_10requests   0.327                    3         0.255                    4         Good                          
cogent_uniform_1_20requests   0.3463333333333333       4         0.422                    7         Bad                           
cogent_uniform_1_30requests   0.4791111111111111       3         0.30766666666666664      6         Good                          
cogent_uniform_2_10requests   0.31366666666666665      4         0.314                    5         Bad                           
cogent_uniform_2_20requests   0.4291666666666667       4         0.42350000000000004      5         Good                          
cogent_uniform_2_30requests   0.46877777777777774      3         0.3766666666666667       5         Good                          
cogent_uniform_3_10requests   0.2326666666666667       2         0.21399999999999997      3         Good                          
cogent_uniform_3_20requests   0.3831666666666667       5         0.366                    5         Good                          
cogent_uniform_3_30requests   0.4287777777777778       4         0.43066666666666664      5         Bad                           
cogent_uniform_4_10requests   0.38266666666666665      4         0.401                    5         Bad                           
cogent_uniform_4_20requests   0.44633333333333336      5         0.37                     6         Good                          
cogent_uniform_4_30requests   0.4716666666666667       3         0.4246666666666667       5         Good                          
cogent_urban_0_10requests     0.5316666666666666       4         0.31499999999999995      5         Good                          
cogent_urban_0_20requests     0.5716666666666667       3         0.46599999999999997      4         Good                          
cogent_urban_0_30requests     0.5691111111111111       6         0.4283333333333333       6         Good                          
cogent_urban_1_10requests     0.573                    5         0.238                    5         Good                          
cogent_urban_1_20requests     0.6026666666666667       5         0.3995                   5         Good                          
cogent_urban_1_30requests     0.5296666666666667       2         0.42299999999999993      5         Good                          
cogent_urban_2_10requests     0.38999999999999996      4         0.373                    6         Good                          
cogent_urban_2_20requests     0.5918333333333333       6         0.47650000000000003      5         Good                          
cogent_urban_2_30requests     0.5661111111111111       5         0.466                    6         Good                          
cogent_urban_3_10requests     0.62                     5         0.31100000000000005      4         Good                          
cogent_urban_3_20requests     0.5348333333333334       6         0.388                    6         Good                          
cogent_urban_3_30requests     0.633                    5         0.42933333333333334      6         Good                          
cogent_urban_4_10requests     0.4923333333333333       4         0.31                     3         Good                          
cogent_urban_4_20requests     0.5601666666666667       5         0.42149999999999993      6         Good                          
cogent_urban_4_30requests     0.5768888888888889       7         0.44866666666666666      4         Good                          
conus_centers_0_10requests    0.479                    4         0.4570000000000001       6         Good                          
conus_centers_0_20requests    0.5125                   8         0.457                    5         Good                          
conus_centers_0_30requests    0.5614444444444445       4         0.387                    4         Good                          
conus_centers_1_10requests    0.44533333333333336      3         0.403                    6         Good                          
conus_centers_1_20requests    0.5651666666666667       8         0.48000000000000004      5         Good                          
conus_centers_1_30requests    0.5636666666666666       5         0.456                    4         Good                          
conus_centers_2_10requests    0.39799999999999996      5         0.29                     5         Good                          
conus_centers_2_20requests    0.5061666666666667       7         0.4135                   5         Good                          
conus_centers_2_30requests    0.5687777777777777       9         0.462                    4         Good                          
conus_centers_3_10requests    0.3913333333333333       4         0.395                    5         Bad                           
conus_centers_3_20requests    0.5286666666666666       5         0.456                    5         Good                          
conus_centers_3_30requests    0.5134444444444446       8         0.4246666666666667       6         Good                          
conus_centers_4_10requests    0.519                    5         0.344                    5         Good                          
conus_centers_4_20requests    0.4573333333333334       5         0.4805                   5         Bad                           
conus_centers_4_30requests    0.5256666666666666       6         0.41933333333333334      5         Good                          
conus_rural_0_10requests      0.43100000000000005      4         0.28300000000000003      5         Good                          
conus_rural_0_20requests      0.5215                   6         0.4075                   5         Good                          
conus_rural_0_30requests      0.5607777777777777       7         0.4286666666666667       5         Good                          
