Instance                      NSGA-II                  SL        GA                       SL        
cogent_centers_0_10requests   0.4263333333333333       5         0.39                     6         Good                          
cogent_centers_0_20requests   0.44766666666666666      7         0.41750000000000004      5         Good                          
cogent_centers_0_30requests   0.48911111111111116      9         0.43366666666666664      5         Good                          
cogent_centers_1_10requests   0.4943333333333333       3         0.29200000000000004      3         Good                          
cogent_centers_1_20requests   0.5940000000000001       7         0.4610000000000001       3         Good                          
cogent_centers_1_30requests   0.5105555555555554       8         0.4296666666666667       3         Good                          
cogent_centers_2_10requests   0.3706666666666667       4         0.335                    5         Good                          
cogent_centers_2_20requests   0.5851666666666667       6         0.33349999999999996      2         Good                          
cogent_centers_2_30requests   0.5634444444444445       9         0.433                    5         Good                          
cogent_centers_3_10requests   0.5216666666666667       4         0.33499999999999996      4         Good                          
cogent_centers_3_20requests   0.34750000000000003      3         0.3905                   5         Bad                           
cogent_centers_3_30requests   0.5683333333333334       9         0.3913333333333333       3         Good                          
cogent_centers_4_10requests   0.5056666666666666       2         0.496                    6         Good                          
cogent_centers_4_20requests   0.5294999999999999       6         0.4295                   5         Good                          
cogent_centers_4_30requests   0.4828888888888889       6         0.3253333333333333       4         Good                          
cogent_rural_0_10requests     0.33266666666666667      4         0.12400000000000001      3         Good                          
cogent_rural_0_20requests     0.40183333333333326      3         0.3315                   7         Good                          
cogent_rural_0_30requests     0.41855555555555557      6         0.3846666666666666       5         Good                          
cogent_rural_1_10requests     0.39899999999999997      3         0.192                    3         Good                          
cogent_rural_1_20requests     0.4425                   4         0.2915                   6         Good                          
cogent_rural_1_30requests     0.4775555555555556       6         0.33666666666666667      5         Good                          
cogent_rural_2_10requests     0.351                    3         0.13                     3         Good                          
cogent_rural_2_20requests     0.44666666666666666      5         0.30800000000000005      5         Good                          
cogent_rural_2_30requests     0.36711111111111117      7         0.33299999999999996      5         Good                          
cogent_rural_3_10requests     0.33499999999999996      2         0.25                     4         Good                          
cogent_rural_3_20requests     0.4553333333333333       2         0.4475                   5         Good                          
cogent_rural_3_30requests     0.4467777777777778       6         0.3373333333333333       5         Good                          
cogent_rural_4_10requests     0.362                    3         0.267                    5         Good                          
cogent_rural_4_20requests     0.33333333333333337      3         0.2215                   4         Good                          
cogent_rural_4_30requests     0.3933333333333333       5         0.3093333333333333       5         Good                          
cogent_uniform_0_10requests   0.489                    4         0.26                     4         Good                          
cogent_uniform_0_20requests   0.5405000000000001       7         0.366                    6         Good                          
cogent_uniform_0_30requests   0.5235555555555557       5         0.424                    5         Good                          
cogent_uniform_1_10requests   0.3763333333333333       3         0.216                    3         Good                          
cogent_uniform_1_20requests   0.42033333333333334      5         0.38050000000000006      6         Good                          
cogent_uniform_1_30requests   0.5185555555555555       5         0.31466666666666665      4         Good                          
cogent_uniform_2_10requests   0.41600000000000004      3         0.324                    7         Good                          
cogent_uniform_2_20requests   0.4673333333333334       5         0.39349999999999996      4         Good                          
cogent_uniform_2_30requests   0.5004444444444445       5         0.34900000000000003      3         Good                          
cogent_uniform_3_10requests   0.29866666666666664      2         0.266                    6         Good                          
cogent_uniform_3_20requests   0.42066666666666674      4         0.3305                   5         Good                          
cogent_uniform_3_30requests   0.4395555555555556       5         0.433                    5         Good                          
cogent_uniform_4_10requests   0.4276666666666667       3         0.391                    6         Good                          
cogent_uniform_4_20requests   0.4471666666666666       4         0.345                    4         Good                          
cogent_uniform_4_30requests   0.5757777777777777       4         0.4316666666666666       7         Good                          
cogent_urban_0_10requests     0.499                    4         0.24799999999999997      3         Good                          
cogent_urban_0_20requests     0.6611666666666667       6         0.4435                   4         Good                          
cogent_urban_0_30requests     0.5818888888888889       7         0.4373333333333333       6         Good                          
cogent_urban_1_10requests     0.4406666666666667       4         0.256                    6         Good                          
cogent_urban_1_20requests     0.632                    7         0.368                    4         Good                          
cogent_urban_1_30requests     0.5237777777777779       2         0.42499999999999993      5         Good                          
cogent_urban_2_10requests     0.5623333333333334       5         0.374                    6         Good                          
cogent_urban_2_20requests     0.5678333333333334       3         0.433                    4         Good                          
cogent_urban_2_30requests     0.5723333333333334       5         0.4576666666666666       5         Good                          
cogent_urban_3_10requests     0.6346666666666666       4         0.318                    3         Good                          
cogent_urban_3_20requests     0.5409999999999999       7         0.36                     5         Good                          
cogent_urban_3_30requests     0.6012222222222222       5         0.32199999999999995      4         Good                          
cogent_urban_4_10requests     0.49866666666666665      4         0.304                    4         Good                          
cogent_urban_4_20requests     0.541                    5         0.4215                   6         Good                          
cogent_urban_4_30requests     0.641888888888889        7         0.3953333333333333       6         Good                          
conus_centers_0_10requests    0.4706666666666667       4         0.386                    4         Good                          
conus_centers_0_20requests    0.38816666666666666      5         0.4215                   6         Bad                           
conus_centers_0_30requests    0.5559999999999999       8         0.39399999999999996      4         Good                          
conus_centers_1_10requests    0.383                    4         0.27299999999999996      3         Good                          
conus_centers_1_20requests    0.4705                   6         0.44499999999999995      5         Good                          
conus_centers_1_30requests    0.5191111111111111       7         0.4793333333333334       5         Good                          
conus_centers_2_10requests    0.2776666666666667       4         0.23900000000000005      4         Good                          
conus_centers_2_20requests    0.4448333333333334       6         0.432                    5         Good                          
conus_centers_2_30requests    0.49044444444444446      10        0.409                    2         Good                          
conus_centers_3_10requests    0.4323333333333333       4         0.32300000000000006      5         Good                          
conus_centers_3_20requests    0.43333333333333324      4         0.423                    6         Good                          
conus_centers_3_30requests    0.42166666666666663      4         0.44233333333333336      5         Bad                           
conus_centers_4_10requests    0.384                    4         0.30200000000000005      4         Good                          
conus_centers_4_20requests    0.44233333333333325      6         0.45599999999999996      5         Bad                           
conus_centers_4_30requests    0.47944444444444434      6         0.44533333333333336      6         Good                          
conus_rural_0_10requests      0.4753333333333333       3         0.255                    5         Good                          
conus_rural_0_20requests      0.48316666666666663      4         0.3805                   3         Good                          
conus_rural_0_30requests      0.5382222222222223       7         0.4083333333333333       5         Good                          
conus_rural_1_10requests      0.5186666666666666       5         0.32399999999999995      4         Good                          
conus_rural_1_20requests      0.5311666666666668       7         0.41750000000000004      5         Good                          
conus_rural_1_30requests      0.472                    3         0.404                    5         Good                          
conus_rural_2_10requests      0.487                    4         0.353                    6         Good                          
conus_rural_2_20requests      0.5501666666666667       5         0.3715                   4         Good                          
conus_rural_2_30requests      0.6254444444444445       5         0.39133333333333337      6         Good                          
conus_rural_3_10requests      0.4416666666666666       3         0.294                    3         Good                          
conus_rural_3_20requests      0.45866666666666656      5         0.33799999999999997      6         Good                          
conus_rural_3_30requests      0.4651111111111112       7         0.419                    5         Good                          
conus_rural_4_10requests      0.41866666666666663      4         0.265                    5         Good                          
conus_rural_4_20requests      0.5903333333333334       9         0.35500000000000004      3         Good                          
conus_rural_4_30requests      0.5542222222222222       8         0.3543333333333334       4         Good                          
conus_uniform_0_10requests    0.4763333333333334       4         0.374                    5         Good                          
conus_uniform_0_20requests    0.5243333333333333       6         0.4915                   6         Good                          
conus_uniform_0_30requests    0.5806666666666667       7         0.42933333333333334      4         Good                          
conus_uniform_1_10requests    0.5563333333333333       5         0.36900000000000005      4         Good                          
conus_uniform_1_20requests    0.5975                   5         0.495                    4         Good                          
conus_uniform_1_30requests    0.6016666666666667       7         0.4280000000000001       4         Good                          
conus_uniform_2_10requests    0.47000000000000003      4         0.403                    4         Good                          
conus_uniform_2_20requests    0.5038333333333334       6         0.4315                   4         Good                          
conus_uniform_2_30requests    0.43866666666666665      7         0.37033333333333335      5         Good                          
conus_uniform_3_10requests    0.4716666666666668       4         0.383                    4         Good                          
conus_uniform_3_20requests    0.5381666666666667       7         0.493                    6         Good                          
conus_uniform_3_30requests    0.5315555555555556       7         0.4863333333333333       5         Good                          
conus_uniform_4_10requests    0.5343333333333333       5         0.372                    6         Good                          
conus_uniform_4_20requests    0.6496666666666666       7         0.532                    5         Good                          
conus_uniform_4_30requests    0.5289999999999999       9         0.4036666666666667       5         Good                          
conus_urban_0_10requests      0.5366666666666667       4         0.305                    4         Good                          
conus_urban_0_20requests      0.584                    5         0.46849999999999997      4         Good                          
conus_urban_0_30requests      0.6399999999999999       6         0.5233333333333333       5         Good                          
conus_urban_1_10requests      0.5229999999999999       7         0.39                     4         Good                          
conus_urban_1_20requests      0.5056666666666666       5         0.4495                   5         Good                          
conus_urban_1_30requests      0.5534444444444445       9         0.4473333333333333       5         Good                          
conus_urban_2_10requests      0.5933333333333333       3         0.382                    7         Good                          
conus_urban_2_20requests      0.5603333333333333       8         0.5245                   7         Good                          
conus_urban_2_30requests      0.6082222222222223       8         0.423                    6         Good                          
conus_urban_3_10requests      0.589                    3         0.268                    3         Good                          
conus_urban_3_20requests      0.5456666666666666       5         0.381                    6         Good                          
conus_urban_3_30requests      0.6007777777777777       6         0.396                    4         Good                          
conus_urban_4_10requests      0.5506666666666666       3         0.496                    6         Good                          
conus_urban_4_20requests      0.699                    14        0.37649999999999995      4         Good                          
conus_urban_4_30requests      0.6651111111111112       7         0.4486666666666667       6         Good                          
nsf_centers_0_10requests      0.31933333333333336      3         0.242                    5         Good                          
nsf_centers_0_20requests      0.251                    3         0.22599999999999998      6         Good                          
nsf_centers_0_30requests      0.344                    5         0.323                    5         Good                          
nsf_centers_1_10requests      0.263                    3         0.168                    3         Good                          
nsf_centers_1_20requests      0.2771666666666667       4         0.19849999999999998      5         Good                          
nsf_centers_1_30requests      0.31244444444444447      3         0.288                    5         Good                          
nsf_centers_2_10requests      0.30866666666666664      4         0.141                    3         Good                          
nsf_centers_2_20requests      0.2843333333333333       5         0.2665                   5         Good                          
